"","lhs","","rhs","support","confidence","coverage","lift","count"
"[1]","{Lip.liner=Yes}","=>","{Concealer=Yes}",0.179,0.764957264957265,0.234,1.73067254515218,179
"[2]","{Nail.Polish=Yes}","=>","{Concealer=Yes}",0.149,0.532142857142857,0.28,1.20394311570782,149
"[3]","{Bronzer=Yes}","=>","{Concealer=Yes}",0.175,0.627240143369176,0.279,1.41909534698909,175
"[4]","{Blush=Yes}","=>","{Concealer=Yes}",0.22,0.606060606060606,0.363,1.37117784176608,220
"[5]","{Mascara=Yes}","=>","{Concealer=Yes}",0.204,0.571428571428571,0.357,1.29282482223659,204
"[6]","{Eye.shadow=Yes}","=>","{Concealer=Yes}",0.201,0.52755905511811,0.381,1.19357252289165,201
"[7]","{Eyeliner=Yes}","=>","{Concealer=Yes}",0.297,0.649890590809628,0.457,1.4703407031892,297
"[8]","{Bronzer=Yes, Lip.liner=Yes}","=>","{Concealer=Yes}",0.103,0.8046875,0.128,1.82055995475113,103
"[9]","{Blush=Yes, Lip.liner=Yes}","=>","{Concealer=Yes}",0.108,0.870967741935484,0.124,1.9705152532477,108
"[10]","{Lip.liner=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.12,0.923076923076923,0.13,2.08840932822833,120
"[11]","{Lipstick=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.103,0.664516129032258,0.155,1.50343015618158,103
"[12]","{Blush=Yes, Bronzer=Yes}","=>","{Concealer=Yes}",0.107,0.798507462686567,0.134,1.80657796987911,107
"[13]","{Bronzer=Yes, Mascara=Yes}","=>","{Concealer=Yes}",0.102,0.744525547445255,0.137,1.68444693992139,102
"[14]","{Bronzer=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.119,0.815068493150685,0.146,1.84404636459431,119
"[15]","{Blush=Yes, Mascara=Yes}","=>","{Concealer=Yes}",0.131,0.71195652173913,0.184,1.61076136140075,131
"[16]","{Blush=Yes, Eye.shadow=Yes}","=>","{Concealer=Yes}",0.124,0.681318681318681,0.182,1.54144498035901,124
"[17]","{Blush=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.143,0.794444444444444,0.18,1.79738562091503,143
"[18]","{Blush=Yes, Lip.Gloss=Yes}","=>","{Concealer=Yes}",0.112,0.629213483146067,0.178,1.42355991662006,112
"[19]","{Blush=Yes, Foundation=Yes}","=>","{Concealer=Yes}",0.115,0.598958333333333,0.192,1.35510935143288,115
"[20]","{Mascara=Yes, Eye.shadow=Yes}","=>","{Concealer=Yes}",0.179,0.557632398753894,0.321,1.26161176188664,179
"[21]","{Mascara=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.134,0.765714285714286,0.175,1.73238526179703,134
"[22]","{Mascara=Yes, Lip.Gloss=Yes}","=>","{Concealer=Yes}",0.101,0.558011049723757,0.181,1.26246843828904,101
"[23]","{Mascara=Yes, Foundation=Yes}","=>","{Concealer=Yes}",0.107,0.557291666666667,0.192,1.26084087481146,107
"[24]","{Eye.shadow=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.13,0.714285714285714,0.182,1.61603102779573,130
"[25]","{Eye.shadow=Yes, Lip.Gloss=Yes}","=>","{Concealer=Yes}",0.101,0.502487562189055,0.201,1.13684968821053,101
"[26]","{Lip.Gloss=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.145,0.638766519823789,0.227,1.44517312177328,145
"[27]","{Foundation=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.152,0.638655462184874,0.238,1.44492186014677,152
"[28]","{Blush=Yes, Mascara=Yes, Eye.shadow=Yes}","=>","{Concealer=Yes}",0.119,0.70414201183432,0.169,1.59308147473828,119
"[29]","{Mascara=Yes, Eye.shadow=Yes, Eyeliner=Yes}","=>","{Concealer=Yes}",0.114,0.754966887417219,0.151,1.70806988103443,114
